Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-April-2013,259.00,266.20,237.00,262.15,255.802278893109061313,9215,565,2357218.00,3512,38.11,29.20,3.15
23-April-2013,251.65,260.95,250.50,259.55,255.919788119561104805,2643,178,676396.00,2031,76.84,10.45,7.90
22-April-2013,256.00,257.90,250.20,252.60,253.495074584857866591,3553,178,900668.00,2719,76.53,7.70,-3.40
18-April-2013,253.00,257.00,250.00,256.50,253.714566929133858267,508,75,128887.00,154,30.31,7.00,3.50
17-April-2013,254.95,257.45,252.05,255.65,255.007448789571694599,3759,124,958573.00,2694,71.67,5.40,0.70
16-April-2013,254.00,254.20,249.15,252.40,252.693348801237432327,2586,150,653465.00,2149,83.10,5.05,-1.60
15-April-2013,253.00,255.80,249.00,252.15,253.137226031719321862,23771,224,6017325.00,22227,93.50,6.80,-0.85
12-April-2013,253.00,255.50,249.00,253.15,251.882978723404255319,3948,205,994434.00,3434,86.98,6.50,0.15
11-April-2013,248.00,255.80,245.70,253.70,253.155970149253731343,4020,87,1017687.00,3977,98.93,10.10,5.70
10-April-2013,248.00,252.65,248.00,250.25,250.259112867808519982,2277,70,569840.00,2084,91.52,4.65,2.25
9-April-2013,260.80,260.80,249.30,251.60,254.356228956228956228,7425,327,1888595.00,5901,79.47,11.50,-9.20
8-April-2013,250.00,261.00,232.40,259.15,254.858372998701860666,23110,630,5889777.00,20681,89.49,28.60,9.15
5-April-2013,267.40,269.50,245.00,256.35,259.565553339980059820,4012,538,1041377.00,2254,56.18,24.50,-11.05
4-April-2013,267.85,268.00,260.00,264.05,264.784132841328413284,1084,111,287026.00,412,38.01,8.00,-3.80
3-April-2013,267.00,273.95,264.00,268.70,268.335225480920845159,3171,349,850891.00,2079,65.56,9.95,1.70
2-April-2013,266.00,275.00,266.00,268.75,268.707476166583040642,1993,155,535534.00,1587,79.63,9.00,2.75
1-April-2013,267.00,278.55,267.00,275.75,275.097938144329896907,1940,108,533690.00,987,50.88,11.55,8.75
28-March-2013,264.00,275.25,257.00,264.85,263.106737320211960635,3963,160,1042692.00,3040,76.71,18.25,0.85
26-March-2013,270.15,273.75,259.05,262.65,264.776059179556153328,1487,180,393722.00,982,66.04,14.70,-7.50
25-March-2013,265.00,279.00,265.00,271.80,271.720641867250182348,2742,202,745058.00,1537,56.05,14.00,6.80
22-March-2013,272.00,272.80,261.00,262.95,266.301575668743129351,2729,259,726737.00,1733,63.50,11.80,-9.05
21-March-2013,267.00,280.00,250.30,276.10,275.035590920305946212,16212,271,4458877.00,14519,89.56,29.70,9.10
20-March-2013,278.05,278.05,264.00,266.55,271.557551937113980909,1781,186,483644.00,805,45.20,14.05,-11.50
19-March-2013,281.50,288.00,276.00,278.05,281.194612169066418950,4306,208,1210824.00,2580,59.92,12.00,-3.45
18-March-2013,278.75,285.85,271.00,280.20,278.622053872053872053,3564,349,993009.00,1878,52.69,14.85,1.45
15-March-2013,284.10,285.50,274.25,281.00,281.512091356918943125,4466,304,1257233.00,2962,66.32,11.25,-3.10
14-March-2013,285.00,298.65,284.80,286.65,288.351444291609353507,2908,468,838526.00,2091,71.91,13.85,1.65
13-March-2013,296.00,296.60,283.05,285.90,289.566750629722921914,1191,140,344874.00,657,55.16,13.55,-10.10
12-March-2013,303.00,303.00,295.00,295.80,300.931229743322281414,26843,139,8077897.00,26583,99.03,8.00,-7.20
11-March-2013,304.00,307.80,301.60,303.15,304.208194378275369223,2099,101,638533.00,1182,56.31,6.20,-0.85
8-March-2013,297.00,303.60,297.00,301.55,300.036388974914834314,6458,475,1937635.00,3896,60.33,6.60,4.55
7-March-2013,300.00,301.00,293.25,294.55,295.833230006199628022,3226,118,954358.00,2546,78.92,7.75,-5.45
6-March-2013,304.00,310.00,296.00,298.05,302.118788819875776397,1288,166,389129.00,880,68.32,14.00,-5.95
5-March-2013,293.00,304.00,293.00,301.95,300.063549160671462829,5004,505,1501518.00,2817,56.29,11.00,8.95
4-March-2013,310.00,314.85,293.00,297.35,303.929851068422188646,4633,360,1408107.00,2148,46.36,21.85,-12.65
1-March-2013,315.00,315.00,304.10,309.65,310.203361344537815126,2975,227,922855.00,2131,71.63,10.90,-5.35
28-February-2013,322.25,323.00,312.00,315.85,316.151154132539091586,2686,548,849182.00,1665,61.99,11.00,-6.40
27-February-2013,305.50,317.00,303.00,315.95,313.100614574187884108,5695,753,1783108.00,3844,67.50,14.00,10.45
26-February-2013,312.00,312.00,306.00,308.15,309.151815181518151815,7878,168,2435498.00,6657,84.50,6.00,-3.85
25-February-2013,313.00,314.80,310.50,311.65,311.733874412644169158,2341,89,729769.00,2121,90.60,4.30,-1.35
22-February-2013,321.00,335.00,312.00,313.00,316.551522248243559718,854,112,270335.00,540,63.23,23.00,-8.00
21-February-2013,314.35,319.50,312.80,313.90,314.270243902439024390,2050,141,644254.00,1300,63.41,6.70,-0.45
20-February-2013,310.85,325.00,309.35,317.60,316.086986301369863013,2920,203,922974.00,825,28.25,15.65,6.75
19-February-2013,312.20,318.85,309.00,313.30,310.583101441942828231,3953,128,1227735.00,3001,75.92,9.85,1.10
18-February-2013,312.70,320.15,308.30,309.10,309.768874898650259932,20967,107,6494924.00,20657,98.52,11.85,-3.60
15-February-2013,310.00,313.00,308.00,310.45,310.040119504908237302,9372,74,2905696.00,8867,94.61,5.00,0.45
14-February-2013,314.50,318.95,309.50,312.65,310.989993612944432616,9394,243,2921440.00,6154,65.51,9.45,-1.85
13-February-2013,314.55,318.00,313.00,316.65,316.129577464788732394,1065,45,336678.00,872,81.88,5.00,2.10
12-February-2013,316.00,317.95,305.50,312.65,313.051529790660225442,2484,135,777620.00,1423,57.29,12.45,-3.35
11-February-2013,317.20,323.80,313.00,316.15,316.669909426366990942,2981,191,943993.00,1463,49.08,10.80,-1.05
